WARNING:imageio:Lossy conversion from float64 to uint8. Range [0, 1]. Convert image to uint8 prior to saving to suppress this warning.
INFO:root:Epoch:[0]-[0/52] --> d_loss: 15.007, g_loss:6.661, g_recon_loss:6.661
INFO:root:Epoch:[0]-[1/52] --> d_loss: 2.083, g_loss:7.265, g_recon_loss:7.265
INFO:root:Epoch:[0]-[2/52] --> d_loss: 0.004, g_loss:4.910, g_recon_loss:4.910
INFO:root:Epoch:[0]-[3/52] --> d_loss: 0.006, g_loss:0.228, g_recon_loss:0.228
INFO:root:Epoch:[0]-[4/52] --> d_loss: 9.027, g_loss:7.084, g_recon_loss:7.084
INFO:root:Epoch:[0]-[5/52] --> d_loss: 9.493, g_loss:3.005, g_recon_loss:3.005
INFO:root:Epoch:[0]-[6/52] --> d_loss: 1.291, g_loss:1.534, g_recon_loss:1.534
INFO:root:Epoch:[0]-[7/52] --> d_loss: 0.936, g_loss:1.111, g_recon_loss:1.111
INFO:root:Epoch:[0]-[8/52] --> d_loss: 0.834, g_loss:0.903, g_recon_loss:0.903
INFO:root:Epoch:[0]-[9/52] --> d_loss: 0.805, g_loss:2.815, g_recon_loss:2.815
INFO:root:Epoch:[0]-[10/52] --> d_loss: 4.903, g_loss:1.135, g_recon_loss:1.135
INFO:root:Epoch:[0]-[11/52] --> d_loss: 1.370, g_loss:1.891, g_recon_loss:1.891
INFO:root:Epoch:[0]-[12/52] --> d_loss: 3.143, g_loss:0.836, g_recon_loss:0.836
INFO:root:Epoch:[0]-[13/52] --> d_loss: 2.397, g_loss:1.928, g_recon_loss:1.928
INFO:root:Epoch:[0]-[14/52] --> d_loss: 2.953, g_loss:2.624, g_recon_loss:2.624
INFO:root:Epoch:[0]-[15/52] --> d_loss: 1.646, g_loss:1.163, g_recon_loss:1.163
INFO:root:Epoch:[0]-[16/52] --> d_loss: 1.730, g_loss:1.848, g_recon_loss:1.848
INFO:root:Epoch:[0]-[17/52] --> d_loss: 2.151, g_loss:1.196, g_recon_loss:1.196
INFO:root:Epoch:[0]-[18/52] --> d_loss: 1.322, g_loss:1.660, g_recon_loss:1.660
INFO:root:Epoch:[0]-[19/52] --> d_loss: 1.000, g_loss:1.377, g_recon_loss:1.377
INFO:root:Epoch:[0]-[20/52] --> d_loss: 0.310, g_loss:3.536, g_recon_loss:3.536
INFO:root:Epoch:[0]-[21/52] --> d_loss: 2.819, g_loss:2.139, g_recon_loss:2.139
INFO:root:Epoch:[0]-[22/52] --> d_loss: 1.950, g_loss:1.873, g_recon_loss:1.873
INFO:root:Epoch:[0]-[23/52] --> d_loss: 0.880, g_loss:0.455, g_recon_loss:0.455
INFO:root:Epoch:[0]-[24/52] --> d_loss: 0.143, g_loss:2.184, g_recon_loss:2.184
INFO:root:Epoch:[0]-[25/52] --> d_loss: 0.159, g_loss:0.157, g_recon_loss:0.157
INFO:root:Epoch:[0]-[26/52] --> d_loss: 0.055, g_loss:0.142, g_recon_loss:0.142
INFO:root:Epoch:[0]-[27/52] --> d_loss: 0.023, g_loss:0.137, g_recon_loss:0.137
INFO:root:Epoch:[0]-[28/52] --> d_loss: 0.020, g_loss:0.107, g_recon_loss:0.107
INFO:root:Epoch:[0]-[29/52] --> d_loss: 0.014, g_loss:0.085, g_recon_loss:0.085
INFO:root:Epoch:[0]-[30/52] --> d_loss: 0.008, g_loss:0.073, g_recon_loss:0.073
INFO:root:Epoch:[0]-[31/52] --> d_loss: 0.008, g_loss:0.051, g_recon_loss:0.051
INFO:root:Epoch:[0]-[32/52] --> d_loss: 0.016, g_loss:0.047, g_recon_loss:0.047
INFO:root:Epoch:[0]-[33/52] --> d_loss: 0.005, g_loss:0.038, g_recon_loss:0.038
INFO:root:Epoch:[0]-[34/52] --> d_loss: 0.005, g_loss:0.029, g_recon_loss:0.029
INFO:root:Epoch:[0]-[35/52] --> d_loss: 0.005, g_loss:0.027, g_recon_loss:0.027
INFO:root:Epoch:[0]-[36/52] --> d_loss: 0.002, g_loss:0.029, g_recon_loss:0.029
INFO:root:Epoch:[0]-[37/52] --> d_loss: 0.002, g_loss:0.024, g_recon_loss:0.024
INFO:root:Epoch:[0]-[38/52] --> d_loss: 0.003, g_loss:0.021, g_recon_loss:0.021
INFO:root:Epoch:[0]-[39/52] --> d_loss: 0.002, g_loss:0.024, g_recon_loss:0.024
INFO:root:Epoch:[0]-[40/52] --> d_loss: 0.001, g_loss:0.022, g_recon_loss:0.022
INFO:root:Epoch:[0]-[41/52] --> d_loss: 0.002, g_loss:0.019, g_recon_loss:0.019
INFO:root:Epoch:[0]-[42/52] --> d_loss: 0.002, g_loss:0.020, g_recon_loss:0.020
INFO:root:Epoch:[0]-[43/52] --> d_loss: 0.002, g_loss:0.020, g_recon_loss:0.020
INFO:root:Epoch:[0]-[44/52] --> d_loss: 0.001, g_loss:0.019, g_recon_loss:0.019
INFO:root:Epoch:[0]-[45/52] --> d_loss: 0.001, g_loss:0.019, g_recon_loss:0.019
INFO:root:Epoch:[0]-[46/52] --> d_loss: 0.001, g_loss:0.019, g_recon_loss:0.019
INFO:root:Epoch:[0]-[47/52] --> d_loss: 0.001, g_loss:0.017, g_recon_loss:0.017
INFO:root:Epoch:[0]-[48/52] --> d_loss: 0.001, g_loss:0.018, g_recon_loss:0.018
INFO:root:Epoch:[0]-[49/52] --> d_loss: 0.001, g_loss:0.024, g_recon_loss:0.024
INFO:root:Epoch:[0]-[50/52] --> d_loss: 0.001, g_loss:0.017, g_recon_loss:0.017
INFO:root:Epoch:[0]-[51/52] --> d_loss: 0.001, g_loss:0.017, g_recon_loss:0.017
INFO:root:Epoch:[1]-[0/52] --> d_loss: 0.000, g_loss:0.019, g_recon_loss:0.019
INFO:root:Epoch:[1]-[1/52] --> d_loss: 0.001, g_loss:0.019, g_recon_loss:0.019
INFO:root:Epoch:[1]-[2/52] --> d_loss: 0.001, g_loss:0.018, g_recon_loss:0.018
INFO:root:Epoch:[1]-[3/52] --> d_loss: 0.000, g_loss:0.018, g_recon_loss:0.018
INFO:root:Epoch:[1]-[4/52] --> d_loss: 0.000, g_loss:0.018, g_recon_loss:0.018
INFO:root:Epoch:[1]-[5/52] --> d_loss: 0.001, g_loss:0.021, g_recon_loss:0.021
INFO:root:Epoch:[1]-[6/52] --> d_loss: 0.001, g_loss:0.165, g_recon_loss:0.165
